misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
40.0,2020.0,6.1,0,1,0,1,0,0,4G,4000.0,0,0,720.0,1560.0,32.0,3.0,13,2.0,5,1.0
54.509242172832586,2020.0,5.0,0,1,0,1,0,0,3G,2000.0,0,0,720.0,1280.0,8.0,1.0,8,1.0,5,1.0
60.0,2020.0,5.45,0,1,0,1,0,0,4G,3000.0,0,0,720.0,1440.0,16.0,2.0,8,2.0,5,1.0
77.83,2020.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,720.0,1440.0,16.0,2.0,13,1.0,5,1.0
80.0,2020.0,5.71,0,1,0,1,0,0,4G,3200.0,0,0,720.0,1520.0,32.0,2.0,13,2.0,5,1.0
80.0,2020.0,5.0,0,1,0,1,1,1,4G,4000.0,0,1,720.0,1280.0,16.0,2.0,13,1.0,5,1.0
80.0,2020.0,6.22,0,1,0,1,0,0,4G,5000.0,0,1,720.0,1520.0,32.0,2.0,13,2.0,8,1.0
90.0,2020.0,5.45,0,1,0,1,0,0,4G,3020.0,0,0,720.0,1440.0,32.0,2.0,8,1.0,5,1.0
90.0,2020.0,6.6,0,1,0,1,1,0,4G,5000.0,0,0,720.0,1600.0,32.0,2.0,13,4.0,8,1.0
94.6,2020.0,6.22,0,1,0,1,0,0,4G,4000.0,0,0,720.0,1520.0,32.0,3.0,13,3.0,5,1.0
99.99,2020.0,6.1,0,1,0,1,0,0,4G,3000.0,0,1,720.0,1560.0,32.0,2.0,13,2.0,5,1.0
100.0,2020.0,6.82,0,1,0,1,1,0,4G,6000.0,0,0,720.0,1640.0,32.0,2.0,13,2.0,8,1.0
100.0,2020.0,6.5,0,1,0,1,0,0,4G,5000.0,0,0,720.0,1600.0,32.0,3.0,12,3.0,5,1.0
106.99,2020.0,5.71,0,1,0,1,0,0,4G,3000.0,0,0,720.0,1520.0,16.0,1.0,8,1.0,5,1.0
110.0,2020.0,5.71,0,1,0,1,0,0,4G,3020.0,0,0,720.0,1520.0,64.0,3.0,13,1.0,5,1.0
110.0,2020.0,6.09,0,1,0,1,0,1,4G,3020.0,0,0,720.0,1560.0,64.0,3.0,13,1.0,8,1.0
110.0,2020.0,6.6,0,1,0,1,1,0,4G,5000.0,0,0,720.0,1600.0,64.0,4.0,48,4.0,8,1.0
110.0,2020.0,5.0,0,1,0,1,1,1,4G,4000.0,0,1,720.0,1280.0,32.0,4.0,13,2.0,5,1.0
110.0,2020.0,5.7,0,1,0,1,0,0,4G,4000.0,0,0,720.0,1520.0,32.0,3.0,13,2.0,5,1.0
120.0,2020.0,6.3,0,1,0,1,0,0,4G,5000.0,0,0,720.0,1600.0,64.0,4.0,13,2.0,8,1.0
120.0,2020.0,6.2,0,1,0,1,0,0,4G,4230.0,0,0,720.0,1520.0,64.0,3.0,13,2.0,8,1.0
120.0,2020.0,7.0,0,1,1,1,1,0,4G,6000.0,0,0,720.0,1640.0,64.0,4.0,16,4.0,16,1.0
120.0,2020.0,6.6,0,1,0,1,0,0,4G,5000.0,0,0,720.0,1600.0,32.0,2.0,13,4.0,8,1.0
120.0,2020.0,5.0,0,1,0,1,0,0,4G,2600.0,0,0,540.0,960.0,16.0,1.0,8,1.0,5,1.0
123.5,2020.0,6.09,0,1,0,1,0,1,4G,3020.0,0,0,720.0,1560.0,32.0,3.0,13,1.0,8,1.0
129.29,2020.0,6.5,0,1,0,1,0,0,4G,5000.0,0,0,720.0,1600.0,32.0,2.0,12,3.0,5,1.0
